Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Not_Travel,Research,Doctor,2,Male,3,4,Finance Manager,3,Married,Yes,4.85,5,39.34,6,5,13.42,11.65,1.95
Yes,Travel_Frequently,Sales,Doctor,2,Male,2,5,Human Resources Manager,4,Married,Yes,6.51,2,2.04,7,3,15.85,15.98,12.75
No,Not_Travel,Research,Bachelor,4,Male,2,5,Sales Representative,3,Single,No,1.96,4,18.7,4,2,20.11,15.75,6.48
No,Travel_Rarely,Sales,Bachelor,4,Male,2,5,Marketing Specialist,1,Single,No,9.47,4,21.85,9,4,27.88,3.36,8.88
No,Not_Travel,Sales,Bachelor,4,Male,4,4,Sales Representative,4,Single,No,9.87,2,32.52,9,4,22.22,17.11,17.8
No,Not_Travel,Research,Master,2,Male,2,1,Sales Representative,4,Divorced,Yes,9.25,5,31.9,5,1,1.11,1.19,4.94
Yes,Travel_Frequently,Sales,Doctor,4,Male,2,4,Marketing Specialist,3,Single,No,1.14,5,31.35,4,4,2.66,6.43,3.66
Yes,Not_Travel,Finance,Doctor,4,Male,3,4,Sales Representative,1,Divorced,Yes,5.12,1,13.4,8,4,20.13,12.91,6.67
No,Not_Travel,Marketing,Bachelor,4,Male,2,3,Human Resources Manager,3,Married,No,3.01,1,36.6,7,4,14.31,4.39,8.76
Yes,Not_Travel,Sales,Bachelor,4,Female,5,5,Human Resources Manager,4,Single,Yes,8.79,5,36.72,4,4,8.87,18.93,1.84
Yes,Not_Travel,Marketing,Master,4,Female,1,4,Marketing Specialist,2,Single,No,0.61,2,2.17,8,4,6.07,12.05,17.93
No,Not_Travel,Sales,Master,3,Male,4,2,Human Resources Manager,4,Single,Yes,6.75,4,39.09,6,1,28.44,8.74,16.11
No,Travel_Frequently,Research,Bachelor,4,Female,2,3,Sales Representative,2,Divorced,Yes,9.81,3,12.46,8,4,4.21,0.65,5.53
Yes,Travel_Rarely,Marketing,Bachelor,3,Male,4,3,Research Scientist,1,Divorced,No,0.73,2,7.17,6,3,12.33,16.94,11.71
Yes,Travel_Frequently,Marketing,Master,1,Female,3,4,Research Scientist,2,Married,Yes,2.34,5,34.67,1,3,25.77,11.25,6
Yes,Travel_Rarely,Marketing,Bachelor,1,Female,5,5,Human Resources Manager,1,Divorced,No,9.94,4,12.66,5,2,22.79,11.51,14.63
No,Not_Travel,Sales,Doctor,1,Female,5,4,Sales Representative,4,Divorced,Yes,1.16,4,0.2,3,4,17.67,2.78,8.02
No,Travel_Frequently,Finance,Master,4,Male,3,1,Sales Representative,4,Married,Yes,6.17,3,20.95,1,1,23.3,13.81,12.59
Yes,Travel_Rarely,Finance,Doctor,2,Female,5,1,Marketing Specialist,4,Married,Yes,1.12,2,16.42,6,2,26.11,18.33,0.21
Yes,Travel_Frequently,Marketing,Bachelor,2,Male,2,5,Human Resources Manager,3,Divorced,No,1.11,1,18.5,3,1,14.43,5.36,5.59
No,Not_Travel,Finance,Doctor,4,Male,3,4,Marketing Specialist,1,Single,Yes,8.7,5,6.12,8,5,28.27,3.92,2.07
No,Travel_Rarely,Marketing,Doctor,4,Male,2,5,Human Resources Manager,1,Married,No,8.53,4,21.42,6,2,20.33,1.23,11.1
Yes,Travel_Rarely,Finance,Doctor,2,Female,2,5,Finance Manager,4,Single,Yes,4.97,4,15.57,1,4,3.75,13.17,16.07
No,Not_Travel,Sales,Master,3,Female,3,4,Marketing Specialist,2,Married,Yes,9.04,2,9.87,9,2,27.77,6.71,14.93
Yes,Travel_Frequently,Human Resources,Master,3,Male,5,4,Finance Manager,4,Married,Yes,8.25,5,31.32,6,4,12.12,8.33,2.22
Yes,Travel_Rarely,Human Resources,Master,4,Female,1,4,Human Resources Manager,1,Divorced,Yes,5.89,5,38.48,1,3,14.2,1.73,18.7
Yes,Travel_Frequently,Sales,Master,2,Female,2,1,Research Scientist,4,Single,Yes,4.35,3,2.11,5,3,18.48,12.86,6.2
Yes,Travel_Rarely,Sales,Doctor,4,Male,1,3,Marketing Specialist,4,Single,No,1.74,4,36.41,2,4,6.4,9.16,1.45
No,Not_Travel,Human Resources,Bachelor,4,Male,1,1,Marketing Specialist,3,Single,Yes,2.99,2,12.31,7,1,4.46,1.51,16.01
No,Not_Travel,Human Resources,Master,1,Male,5,2,Human Resources Manager,4,Married,No,4.12,3,15.96,6,3,27.94,1.14,15.43
Yes,Travel_Frequently,Finance,Bachelor,1,Female,1,1,Marketing Specialist,3,Married,Yes,5.39,1,34.23,8,4,28.27,0.84,11.43
No,Not_Travel,Human Resources,Bachelor,1,Male,5,5,Finance Manager,2,Single,No,1.14,2,1.23,1,2,18.12,16.79,0.72
Yes,Not_Travel,Finance,Bachelor,3,Male,2,3,Sales Representative,1,Married,No,0.13,1,13.51,5,3,3.67,0.34,16
No,Travel_Rarely,Human Resources,Doctor,4,Female,2,2,Marketing Specialist,2,Single,Yes,5.65,1,0.48,4,3,8.92,7.7,1.01
Yes,Not_Travel,Finance,Doctor,2,Male,1,4,Finance Manager,4,Married,No,1.22,4,29.78,5,1,22.61,9.06,5.24
Yes,Not_Travel,Finance,Doctor,1,Male,1,5,Human Resources Manager,4,Divorced,Yes,7.7,1,18.96,2,2,4.5,4.01,12.24
Yes,Travel_Rarely,Finance,Master,1,Male,1,5,Finance Manager,1,Divorced,No,4.42,2,7.16,6,3,4.73,12.35,1.74
Yes,Not_Travel,Marketing,Doctor,2,Female,2,4,Sales Representative,3,Married,Yes,4.55,4,7.28,2,4,15.03,8.79,19.36
No,Travel_Rarely,Sales,Master,4,Female,5,5,Research Scientist,4,Divorced,No,4.36,3,13.68,2,2,16.54,12.77,8.69
Yes,Not_Travel,Human Resources,Master,1,Female,5,1,Human Resources Manager,1,Divorced,No,7.89,4,14.61,6,3,14.99,11.09,13.62
No,Not_Travel,Research,Doctor,1,Female,1,1,Sales Representative,1,Single,Yes,5.7,2,12.04,1,2,3.21,3.35,11.07
No,Travel_Rarely,Sales,Doctor,3,Male,5,4,Marketing Specialist,3,Married,Yes,8.01,5,22.28,4,2,2.44,4.07,12.51
Yes,Not_Travel,Finance,Bachelor,2,Male,3,4,Finance Manager,3,Married,Yes,3.38,2,15.39,3,5,11.22,2.7,12.7
No,Travel_Rarely,Sales,Master,3,Female,3,4,Sales Representative,4,Married,Yes,2.43,5,24.56,8,4,25.18,6.06,18.28
No,Travel_Rarely,Human Resources,Bachelor,1,Female,5,5,Human Resources Manager,4,Divorced,Yes,6.62,4,8.92,6,4,20.5,3.02,0.51
No,Travel_Rarely,Sales,Master,2,Female,5,5,Human Resources Manager,2,Divorced,Yes,6.31,5,16.45,2,4,17.55,3.86,19.49
Yes,Travel_Rarely,Human Resources,Doctor,3,Male,1,5,Finance Manager,1,Divorced,No,8.2,4,1.17,4,4,19.8,17.2,12.01
Yes,Travel_Frequently,Sales,Master,1,Female,3,2,Finance Manager,4,Single,Yes,8.69,3,12.93,8,3,15.24,1.15,5.57
No,Travel_Frequently,Finance,Doctor,2,Male,1,3,Sales Representative,2,Married,Yes,2.33,1,30.36,1,5,23.05,8.75,8.5
No,Travel_Frequently,Research,Bachelor,4,Male,2,2,Marketing Specialist,2,Married,No,0.27,5,0.21,8,1,18.11,19.46,1.67
Yes,Travel_Frequently,Marketing,Bachelor,4,Female,3,3,Human Resources Manager,3,Single,Yes,8.36,2,11.62,5,4,25.61,1.19,5.69
Yes,Travel_Rarely,Research,Master,1,Female,5,2,Finance Manager,1,Divorced,No,2.63,2,32.2,8,1,15.62,5.72,2.64
No,Not_Travel,Marketing,Doctor,3,Female,1,3,Sales Representative,1,Married,No,5.31,5,31.56,9,4,24.68,15.08,2.54
No,Travel_Frequently,Human Resources,Doctor,3,Female,4,4,Marketing Specialist,4,Married,Yes,1.72,3,21.16,8,1,11.59,11.39,15.57
No,Not_Travel,Finance,Master,4,Female,4,5,Sales Representative,4,Divorced,Yes,7.18,3,21.45,9,3,16.54,17.69,18.73
No,Travel_Frequently,Research,Doctor,4,Female,4,4,Research Scientist,4,Married,Yes,8.19,2,23.31,8,2,27.18,5.7,11.12
No,Travel_Frequently,Sales,Bachelor,4,Male,3,4,Research Scientist,2,Single,Yes,2.79,4,34.57,4,4,9.6,12,7.16
No,Travel_Rarely,Finance,Master,3,Female,2,3,Finance Manager,4,Married,No,5.58,4,35.05,5,3,8.49,13.04,2.03
Yes,Not_Travel,Research,Master,2,Female,3,1,Marketing Specialist,1,Divorced,No,5.87,4,16.65,2,2,26.51,15.42,8.83
Yes,Not_Travel,Sales,Master,4,Female,2,1,Finance Manager,4,Divorced,Yes,1.12,4,34.59,1,1,5.38,6.94,2.37
Yes,Travel_Frequently,Marketing,Bachelor,4,Male,5,1,Finance Manager,4,Single,No,4.67,1,23.24,2,5,1.63,17.55,9.01
No,Travel_Rarely,Sales,Master,4,Female,2,4,Human Resources Manager,2,Divorced,Yes,7.43,4,14.34,1,5,2.78,3.21,12.19
No,Travel_Rarely,Research,Doctor,4,Female,3,5,Research Scientist,4,Married,Yes,1.25,3,3.64,5,3,19.52,3.18,11.9
No,Travel_Rarely,Human Resources,Master,4,Male,5,5,Human Resources Manager,1,Divorced,Yes,4.24,2,25.37,9,1,17.35,6.23,7.1
Yes,Travel_Rarely,Research,Bachelor,4,Female,2,1,Sales Representative,2,Single,No,8.77,1,6.18,3,1,11.48,4.66,7.2
Yes,Not_Travel,Marketing,Bachelor,4,Male,5,2,Finance Manager,4,Divorced,Yes,0.54,2,30.13,2,5,8.96,8.95,14.22
No,Travel_Rarely,Marketing,Bachelor,3,Female,5,5,Marketing Specialist,3,Divorced,No,8.39,5,18.8,6,4,14.6,17.01,3.17
No,Not_Travel,Finance,Doctor,1,Male,2,4,Finance Manager,4,Single,Yes,5.2,1,34.66,8,1,12.38,1.5,19
No,Not_Travel,Marketing,Master,2,Female,5,5,Finance Manager,2,Divorced,No,4.41,5,8.38,5,1,9.03,4.37,5.13
Yes,Travel_Frequently,Sales,Bachelor,1,Male,1,1,Research Scientist,1,Divorced,No,4.51,2,21.37,1,3,19.82,18.51,0.36
No,Travel_Frequently,Sales,Master,4,Female,2,3,Finance Manager,3,Divorced,Yes,1.77,1,26.45,4,3,2.04,2.17,1.75
Yes,Travel_Frequently,Finance,Bachelor,3,Male,5,1,Human Resources Manager,4,Divorced,Yes,1.38,3,6.71,5,5,12.46,18.21,14.76
No,Not_Travel,Finance,Doctor,1,Male,5,2,Human Resources Manager,4,Single,Yes,4.4,1,26.09,8,2,26.93,16.12,0.31
Yes,Travel_Frequently,Finance,Doctor,4,Female,4,3,Sales Representative,2,Single,No,2.21,3,4.9,4,1,2.49,1.21,17.05
No,Not_Travel,Marketing,Bachelor,4,Male,2,4,Research Scientist,4,Divorced,No,9.77,1,29.43,2,5,21.4,17.88,18.53
No,Travel_Rarely,Research,Bachelor,4,Male,4,4,Marketing Specialist,2,Single,Yes,8.14,4,39.88,1,2,1.24,3.9,17.29
Yes,Travel_Rarely,Human Resources,Doctor,4,Male,3,4,Marketing Specialist,3,Married,No,9.64,1,13.81,8,2,4.95,1.68,3.33
No,Travel_Rarely,Research,Bachelor,4,Female,1,2,Finance Manager,4,Married,Yes,8.75,5,38.47,9,1,27.05,4.09,13.46
Yes,Not_Travel,Sales,Bachelor,1,Male,2,5,Finance Manager,4,Divorced,Yes,1.65,5,20.9,8,2,8.31,18.03,7.81
Yes,Travel_Frequently,Human Resources,Doctor,2,Female,3,5,Marketing Specialist,4,Married,No,0.58,1,3.49,3,3,22.51,19.03,9.81
Yes,Not_Travel,Human Resources,Master,4,Female,3,1,Research Scientist,1,Married,Yes,0.53,5,24.35,2,1,16.1,3.45,6.65
Yes,Travel_Rarely,Marketing,Master,1,Male,3,4,Marketing Specialist,2,Single,No,7.96,5,15.63,9,5,0.54,12.85,17.08
Yes,Not_Travel,Finance,Bachelor,3,Male,5,2,Finance Manager,2,Married,Yes,4.07,3,13.93,9,1,1.27,8.37,14.97
Yes,Travel_Rarely,Human Resources,Master,1,Female,4,4,Human Resources Manager,3,Single,Yes,2.15,1,31.68,7,1,19.81,15.97,1.36
No,Not_Travel,Sales,Bachelor,1,Male,2,3,Finance Manager,3,Married,Yes,4.12,3,1.56,1,3,26.77,4.25,0.3
Yes,Travel_Frequently,Marketing,Master,1,Male,5,1,Finance Manager,4,Divorced,Yes,6.55,4,25.79,5,4,5.22,18.69,9.24
Yes,Not_Travel,Human Resources,Doctor,3,Female,2,2,Research Scientist,4,Married,No,9.65,2,32.03,9,2,21.93,11.5,14.84
Yes,Not_Travel,Sales,Bachelor,2,Female,5,2,Research Scientist,1,Single,Yes,5.44,5,13.24,2,3,4.63,1.41,9.25
Yes,Not_Travel,Marketing,Master,1,Female,1,3,Marketing Specialist,4,Single,Yes,1.14,3,34.43,5,1,3.74,12.27,6.38
No,Not_Travel,Research,Master,4,Female,5,3,Human Resources Manager,4,Single,No,8.82,5,0.77,5,2,8.02,17.7,2.63
No,Not_Travel,Finance,Master,1,Female,4,3,Human Resources Manager,3,Divorced,Yes,8.22,1,36.79,9,2,23.61,9.55,7.79
Yes,Travel_Frequently,Sales,Doctor,1,Male,1,4,Sales Representative,2,Single,Yes,2.59,5,29.5,7,4,0.44,12.47,13.7
Yes,Not_Travel,Sales,Bachelor,4,Male,2,4,Finance Manager,4,Married,No,2.46,3,1.28,2,1,24.1,1.88,9.73
No,Travel_Frequently,Marketing,Doctor,4,Male,5,5,Human Resources Manager,1,Divorced,Yes,1.3,3,22.88,7,2,0.32,18.67,1.2
Yes,Not_Travel,Research,Bachelor,3,Female,2,4,Finance Manager,1,Single,Yes,2.13,3,17.58,5,2,11.25,14.49,9.63
Yes,Not_Travel,Human Resources,Doctor,4,Male,2,4,Human Resources Manager,4,Single,No,9.56,4,26.08,8,3,22.1,1.12,9.25
Yes,Travel_Rarely,Human Resources,Doctor,1,Female,5,5,Human Resources Manager,3,Married,No,5.48,3,24.72,1,4,16.69,9.27,6.85
Yes,Travel_Frequently,Finance,Doctor,4,Female,1,1,Finance Manager,4,Married,No,1.8,1,24.84,8,4,14.93,14.57,1.04
Yes,Travel_Frequently,Finance,Master,1,Male,2,1,Human Resources Manager,1,Divorced,No,6.86,4,7.88,9,5,28.68,16.33,18.93
Yes,Not_Travel,Sales,Master,1,Female,5,1,Human Resources Manager,3,Divorced,No,1.51,3,26.55,6,1,18.42,0.5,12.27
No,Travel_Frequently,Finance,Bachelor,4,Female,4,3,Human Resources Manager,4,Divorced,No,6.16,5,38.4,1,2,23.09,1.56,2.16
No,Travel_Frequently,Finance,Bachelor,2,Female,5,1,Research Scientist,2,Divorced,No,2.84,4,21.06,6,4,8.57,18.83,8.73
Yes,Travel_Rarely,Human Resources,Doctor,4,Male,5,5,Sales Representative,3,Single,Yes,0.23,5,15.53,2,1,12.34,12.97,19.81
Yes,Travel_Frequently,Marketing,Doctor,4,Male,4,3,Finance Manager,1,Married,Yes,2.83,5,21.57,5,3,28.51,9.02,5.86
No,Travel_Frequently,Research,Doctor,4,Male,1,4,Human Resources Manager,1,Married,No,8.92,1,21.85,7,3,0.74,1.83,18.99
Yes,Not_Travel,Marketing,Master,1,Male,3,5,Marketing Specialist,4,Divorced,No,9.85,5,25.04,4,2,11.16,17.48,7.58
Yes,Travel_Rarely,Sales,Bachelor,2,Female,5,2,Sales Representative,2,Divorced,Yes,4.52,2,0.63,1,2,29.58,11.02,6.04
No,Not_Travel,Research,Master,4,Female,3,5,Sales Representative,4,Married,No,9.18,2,12.6,8,2,22.1,18.04,15.69
No,Not_Travel,Sales,Doctor,1,Male,5,4,Finance Manager,2,Single,Yes,8.77,5,32.04,4,3,22.67,14.54,13.35
No,Not_Travel,Sales,Doctor,3,Female,5,1,Finance Manager,3,Divorced,Yes,8.15,1,30.31,6,2,22.47,11.63,11.57
No,Travel_Rarely,Sales,Bachelor,3,Female,5,2,Finance Manager,2,Married,No,7.46,5,1.49,8,3,27.26,7.23,15.18
No,Travel_Rarely,Marketing,Master,4,Female,1,5,Marketing Specialist,1,Single,No,4.54,2,18.73,2,2,23.12,14.58,5.83
No,Travel_Rarely,Sales,Master,2,Female,4,5,Marketing Specialist,4,Single,No,2.81,4,25.68,6,2,19.16,12.48,1.33
No,Travel_Frequently,Sales,Doctor,1,Female,2,2,Finance Manager,4,Divorced,No,2.63,1,16.25,9,5,26.97,13.37,9.78
Yes,Not_Travel,Sales,Master,4,Female,5,1,Marketing Specialist,4,Married,Yes,8.45,5,16.12,1,2,7.16,1.59,18.73
Yes,Not_Travel,Finance,Master,4,Female,4,3,Research Scientist,3,Single,Yes,5.51,5,7.42,6,4,20.62,18.73,3.14
No,Travel_Frequently,Human Resources,Master,2,Male,1,3,Human Resources Manager,2,Divorced,Yes,8.45,4,34.87,6,2,12.83,8.99,17.56
No,Not_Travel,Marketing,Master,4,Male,3,3,Human Resources Manager,4,Divorced,No,7.5,2,20.37,7,1,19.24,4.32,5.79
Yes,Travel_Rarely,Human Resources,Master,4,Female,2,3,Human Resources Manager,3,Married,No,0.11,2,29.77,2,4,24.25,19.37,4.27
No,Travel_Frequently,Marketing,Master,2,Female,1,5,Human Resources Manager,1,Divorced,Yes,9.13,5,37.8,5,1,22.86,16.81,4.7
No,Not_Travel,Finance,Doctor,3,Female,1,1,Marketing Specialist,4,Single,No,9.72,1,1.43,1,2,1.58,4.42,15.55
Yes,Travel_Frequently,Sales,Master,1,Female,5,3,Sales Representative,4,Married,Yes,1.52,2,14.81,9,2,11.4,12.04,14.03
Yes,Not_Travel,Sales,Bachelor,1,Male,4,5,Human Resources Manager,4,Single,No,7.87,2,25.09,8,4,0.5,3.3,5.93
Yes,Not_Travel,Research,Master,3,Male,5,5,Finance Manager,3,Divorced,Yes,0.93,3,6.09,6,3,15.15,11.64,4.41
No,Not_Travel,Research,Master,4,Male,1,5,Marketing Specialist,4,Divorced,Yes,7.76,5,5.41,1,5,24.71,2.16,16.9
Yes,Travel_Frequently,Sales,Master,2,Female,5,1,Sales Representative,1,Single,No,1.92,2,16,1,3,15.68,17.23,0.17
